word,frequency
diti,17
priznati,244
slegan,1
puno,313
strpljenje,27
minuta,411
razaznuti,1
frfljanje,1
mumlanji,1
malopra,18
pominjati,294
raščistiti,15
krađa,51
malopre,157
lelujati,1
poslednji,486
klupa,154
okruženje,110
podseti,4
nečiji,52
zelenović,8
breti,27
ukradostiti,1
stanica,96
fejsbuk,8
objasniti,349
lopuža,15
energično,3
krađe,62
reagovati,271
ukradati,5
75.000,15
pratilac,7
sutrati,58
nedelo,13
otići,311
natrpati,2
džep,102
nazoveti,3
neukusan,11
populatan,5
nepoštovanje,23
minut,63
divljati,13
vrištati,2
obračunavati,21
niti,551
smeta,5
terorist,33
ubijati,38
smetiti,91
kidiseti,3
doduše,79
povesti,49
dojava,3
ulaz,13
alkotest,1
nenasilan,19
tolerantan,29
siledžija,10
nasilnik,36
ustan,7
spomenuti,130
rešititi,3
čekajta,22
podnositi,57
teror,23
opstanak,75
procent,35
urediti,69
administrativan,32
linija,130
idititi,4
obraz,40
osuditi,125
uopšte,493
ogledati,57
deklaracija,560
hitno,35
hitan,140
nezavisno,54
belo,12
pojedinačno,37
usuđivati,7
galama,6
dame,163
dragi,172
gledalac,13
kavez,1
bojati,118
stola,6
1835.,3
deputat,1
osobina,15
poznat,219
ličiti,87
tiražan,22
nerazumna,1
nerazuman,6
govornik,213
ovlastiti,123
drajzerov,2
lečiti,61
alkohol,20
pijan,14
knedla,2
koluta,2
doba,49
vladavina,108
gospodar,20
dvorski,2
sluga,20
tadić,54
osloboditi,59
legitimisati,5
pijanac,3
lažati,41
lažeti,66
ružica,1
đinđić,64
odvesti,23
crkva,109
prigovarati,12
složiti,107
dugo,208
proizvod,242
vlasnik,132
imovina,166
poveriti,10
nikako,125
knedliti,1
fotografija,44
ugrožavati,74
otimati,37
teritorija,278
uvoditi,60
2000.,141
đilas,310
potkradati,5
udružiti,13
90-te,3
želja,160
ugroziti,78
vitalan,31
dopustiti,56
juriš,1
iznutra,15
voljan,6
nedićev,1
okupacioni,3
nedić,14
pristati,52
okupator,18
okupacija,42
sila,107
okupiran,3
žigosan,2
žigosati,7
traženje,16
istraga,67
narušavanje,13
nezavisnost,112
delo,76
305.,1
suštinski,168
njeg,4
vražiji,1
skot,1
gora,156
domaći,189
vidovit,6
predstava,24
dvor,20
bulatović,60
pokrao,3
prevariti,41
uzeo,42
osvojiti,48
formirati,113
klub,107
potreban,547
zasigurno,9
kradljivac,5
ridik,1
potvrditi,140
određen,526
primorati,15
vidljiv,40
varati,57
bečki,10
dečak,19
hora,1
izdaja,39
februar,89
mesec,762
2008.,123
ambasada,54
albanac,44
prolongirati,8
proglašenje,15
kruga,35
amerika,103
svetionik,7
demokratija,213
beogradski,123
promeniti,408
prebivalište,121
boga,57
otac,77
iznenaditi,28
dremati,1
aktivan,80
titov,4
goniča,1
vladet,5
janković,17
naložiti,18
studija,303
izvodljivost,29
rušenje,54
prebacivanje,8
spomenik,45
stefanu,5
nemanja,6
osnivač,52
maltena,22
baciti,86
marinkov,3
bara,7
iznenađivati,6
spašavati,8
drina,46
spasiti,43
desetina,99
general,65
pametan,113
bitka,51
bosna,88
srebrenica,129
počiniti,44
genocid,73
nosilje,10
zahtevati,104
osuda,43
ružan,36
dogovor,143
plaćenik,49
šiptarski,27
hatija,1
abazija,3
samoopredeljenje,3
šiptar,10
unutrašnji,170
zastava,116
orlov,4
predstaviti,115
kokošaner,2
himan,11
bozar,5
sačuvaj,8
trobojka,18
privredni,211
vojno,22
kvalitet,252
zaostajati,6
bran,36
izvršan,110
htćeti,348
molo,2
smiriti,70
strast,28
staložen,3
kažita,9
putanje,1
starati,35
kontinuitet,156
reklamiranje,22
desni,45
iskreno,92
zabrinuti,14
snaći,12
pristrasan,3
telesni,6
